Avg	Altitude (km)	Avg	Altitude (km)	Avg	Altitude (km)	Avg	Altitude (km)				
Ni LIDAR	Ni LIDAR	Fe LIDAR	Fe LIDAR	Ni WACCM	Ni WACCM	Fe WACCM	Fe WACCM				
0.99	75	3185.57466666667	80	0	50	0	50				
5.8	76	3707.01696666667	80.5	0	52	0	52				
12.486	77	4177.05293333333	81	0	54	0	54				
26.07	78	4747.13066666667	81.5	0	56	0	56				
54.662	79	5693.56333333333	82	0	58	0	58				
103.974	80	7091.27966666667	82.5	0	60	0	60				
168.502	81	8891.24866666667	83	0	62	0	62				
230.126	82	10561.182	83.5	0	64	0	64				
274.04	83	11527.8623333333	84	0	66	0	66				
302.268	84	12419.6263333333	84.5	0	68	0	68				
324.37	85	13526.6506666667	85	0.00108695652173913	70	0.0131868131868132	70				
339.56	86	14154.2566666667	85.5	0.106521739130435	72	0.946153846153846	72				
337.596	87	14302.2666666667	86	0.218478260869565	74	4.3978021978022	74				
316.194	88	14208.0633333333	86.5	9.44130434782609	76	194.585714285714	76				
285.126	89	14181.39	87	29.9489130434782	78	521.49010989011	78				
255.17	90	13842.9333333333	87.5	108.364130434783	80	1808.2	80				
227.072	91	13384.3733333333	88	272.098913043478	82	5501.0032967033	82				
195.76	92	13003.2433333333	88.5	355.544565217391	84	8694.51208791209	84				
161.768	93	12516.9566666667	89	387.758695652174	86	11418.5978021978	86				
126.498	94	11865.4233333333	89.5	340.532608695652	88	10986.7472527473	88				
92.998	95	11288.1933333333	90	270.144565217391	90	9181.32307692308	90				
65.254	96	10368.769	90.5	196.63152173913	92	6728.32747252747	92				
46.406	97	9373.76233333333	91	130.094565217391	94	4341.10549450549	94				
37.032	98	8603.43033333333	91.5	80.2304347826087	96	2580.33516483516	96				
30.438	99	7637.234	92	46.1739130434783	98	1411.12967032967	98				
22.6	100	6980.39566666667	92.5	24.8934782608696	100	753.682417582418	100				
12.746	101	6348.28533333333	93	12.9804347826087	102	409.734065934066	102				
2.654	102	5589.29933333333	93.5	6.72391304347826	104	227.776923076923	104				
-3.732	103	4991.185	94	3.97826086956522	106	137.356043956044	106				
-4.696	104	4440.745	94.5	2.46630434782609	108	85.9714285714285	108				
-1.046	105	4120.39266666667	95	1.575	110	56.1692307692308	110				
		3732.527	95.5	0.994565217391304	112	36.5967032967033	112				
		3251.59	96	0.58695652173913	114	23.167032967033	114				
		2703.97666666667	96.5	0.327173913043478	116	14.1912087912088	116				
		2196.352	97	0.197826086956522	118	8.79450549450549	118				
		2139.4985	97.5	0.129347826086956	120	5.60879120879121	120				
		2043.9557	98	0.092391304347826	122	3.4054945054945	122				
		1815.42256666667	98.5	0.041304347826087	124	2.12747252747253	124				
		1407.10613666667	99	0.0108695652173913	126	1.47252747252747	126				
		1325.04666666667	99.5	0.00108695652173913	128	1.00989010989011	128				
		1258.6084	100	0	130	0.672527472527472	130				
				0	132	0.481318681318681	132				
				0	134	0.362637362637363	134				
				0	136	0.267032967032967	136				
				0	138	0.196703296703297	138				
				0	140	0.141758241758242	140				
