3E-11			3.5E-11			2.5E-11		O3 conc	CO conc	Frac Recovery
Modelled	Modelled		Modelled	Modelled		Modelled	Modelled	Experimental	experimental	experimental
0	0.005136		0	0.005136		0	0.005136	1920000000000	0	0
9690070000000	0.061946		9690070000000	0.070783		9690070000000	0.05294		9690074906367.04	0.0747411076091851
14535100000000	0.087913		14535100000000	0.100323		14535100000000	0.075127		14535112359550.6	0.107158937415579
24225200000000	0.135416		24225200000000	0.153617		24225200000000	0.116305		24225187265917.6	0.157136425033769
33915300000000	0.177673		33915300000000	0.200188		33915300000000	0.153617		33915262172284.6	0.19990995047276
48450400000000	0.232762		48450400000000	0.259719		48450400000000	0.203286		48450374531835.2	0.254389914452949
58140400000000	0.264833		58140400000000	0.293765		58140400000000	0.232761		58140449438202.3	0.269698334083746
72675600000000	0.307192		72675600000000	0.338073		72675600000000	0.272345		72675561797752.8	0.302566411526339
96900700000000	0.365616		96900700000000	0.397949		96900700000000	0.328181		96900749063670.4	0.345790184601531
111436000000000	0.394913		111436000000000	0.427459		111436000000000	0.356779		111435861423221	0.34984241332733
121126000000000	0.412506		121126000000000	0.445044		121126000000000	0.374133		121125936329588	0.365601080594327
145351000000000	0.450963		145351000000000	0.48305		145351000000000	0.412506		145351123595506	0.462854570013507
193801000000000	0.510165		193801000000000	0.540445		193801000000000	0.47297		193801498127341	0.475461503827105
242252000000000	0.553558		242252000000000	0.581726		242252000000000	0.51831		242251872659176	0.553354344889689
339153000000000	0.612819		339153000000000	0.637073		339153000000000	0.581727		339152621722846	0.580819450697884
387603000000000	0.633941		387603000000000	0.656532		387603000000000	0.604749		387602996254682	0.592976136875281
