NiO2 + O	O2 Conc	O2 Error	Signal	O2 Conc	O2 Error	Signal	Model Output	Model Output	Model Output	Model Output	Model Output	Model Output	Model Output	Model Output	NiO + O	O2 Conc	O2 Error	Signal	O2 Conc	O2 Error	Signal	Model Output	Model Output	Model Output	Model Output	Model Output	Model Output	Model Output	Model Output				
Figure 3(a)	With O	With O	With O	Without O	Without O	Without O	With O	With O	Without O	Without O	Lower limit	Lower limit	Upper Limit	Upper Limit	Figure 3(b)	With O	With O	With O	Without O	Without O	Without O	With O	With O	Without O	Without O	Lower limit	Lower limit	Upper Limit	Upper Limit				
	0	0	1	0	0	1	0	1	0	1	0	1	0	1		0	0	1	0	0	1	0	1.00037134433962	0	1.00037252358491	0	1.00037134433962	0	1.00037134433962				
	237000000000000	3882740053843.85	0.831709928375169	236000000000000	3899192342207.6	0.828021636009869	237000000000000	0.84817970651234	237000000000000	0.834301165570003	237000000000000	0.841200492068487	237000000000000	0.851158880350391		0	0	1.15423050183	74645339436913.5	365908526651.537	0.508567573100981	0	1.00037134433962	0	1.00037252358491	0	1.00037134433962	0	1.00037134433962				
	294000000000000	4836972778941.07	0.813084051930404	294000000000000	4836972778941.07	0.802016224200612	294000000000000	0.815481331021264	294000000000000	0.798730516154634	294000000000000	0.807060795190797	294000000000000	0.819074206179649		74645339436913.5	365908526651.537	0.564537172511358	75794496972905.8	371541651827.969	0.487086125528492	0	1.00037134433962	0	1.00037252358491	0	1.00037134433962	0	1.00037134433962				
	298000000000000	4836972778941.07	0.811424320366019	294000000000000	4902781932396.05	0.783762127626268	298000000000000	0.813238045052137	298000000000000	0.796291955444402	298000000000000	0.804719686154068	298000000000000	0.816872818014949		75706860473088.1	371112061142.589	0.557885913540419	87873801439287.5	430753928623.958	0.47600836041522	0	1.00037134433962	0	1.00037252358491	0	1.00037134433962	0	1.00037134433962				
	392588000000000	6465749326951.84	0.756099934886518	393000000000000	6458970984145.98	0.75167693468205	392588000000000	0.76208451728469	392588000000000	0.740750468350575	392588000000000	0.751366246796525	392588000000000	0.766654331116318		82461612293218.4	404223589672.639	0.550815110904272	99224645310287.8	486395320148.47	0.484445176926232	0	1.00037134433962	0	1.00037252358491	0	1.00037134433962	0	1.00037134433962				
	491000000000000	8078073586598.86	0.719495477307097	491000000000000	8078073586598.86	0.691232092911803	491000000000000	0.712529750671149	491000000000000	0.687071309259037	491000000000000	0.69974649059745	491000000000000	0.717973512097299		99224645310287.8	486395320148.47	0.52694611162444	99224645310287.8	486395320148.47	0.484445176926232	0	1.00037134433962	0	1.00037252358491	0	1.00037134433962	0	1.00037134433962				
	589000000000000	9690397846245.89	0.648522036150864	589000000000000	9690397846245.89	0.645287034917259	589000000000000	0.666632274783151	589000000000000	0.637480596904733	589000000000000	0.652005142171063	589000000000000	0.672858251606467		99224645310287.8	486395320148.47	0.5240248568341	99224645310287.8	486395320148.47	0.484445176926232	0	1.00037134433962	0	1.00037252358491	0	1.00037134433962	0	1.00037134433962				
	687000000000000	11302722105892.9	0.618786654272578	687000000000000	11302722105892.9	0.597046199339935	687000000000000	0.623933797777571	687000000000000	0.591470205520538	687000000000000	0.607654562753959	687000000000000	0.630855794955468		99895861700529.8	489685596571.224	0.529241089204581	99224645310287.8	486395320148.47	0.484445176926232	0	1.00037134433962	0	1.00037252358491	0	1.00037134433962	0	1.00037134433962				
	785000000000000	12915046365539.9	0.547654800959255	785000000000000	12915046365539.9	0.525318686809616	785000000000000	0.584204896875107	785000000000000	0.548777858784226	785000000000000	0.566450563820785	785000000000000	0.591758498840428		103766765721229	508660616280.532	0.543498122475863	99224645310287.8	486395320148.47	0.484445176926232	0	1.00037134433962	0	1.00037252358491	0	1.00037134433962	0	1.00037134433962				
