Height/ km	Fe  atom cm-3 s-1    |	Ni  atom cm-3 s-1    |	Height/ km						
500	1.112910847918E-9	2.94203413249286E-11	500						
499.9	1.113450024951E-9	2.94345947056762E-11	499.9						
499.8	1.113995171602E-9	2.94490018660952E-11	499.8						
499.7	1.114544424491E-9	2.94635186114429E-11	499.7						
499.6	1.115097672105E-9	2.94781470648809E-11	499.6						
499.5	1.115655328675E-9	2.94928906526619E-11	499.5						
499.4	1.116217088754E-9	2.95077421401952E-11	499.4						
499.3	1.116783271987E-9	2.95227102084619E-11	499.3						
499.2	1.117353467711E-9	2.95377842178286E-11	499.2						
499.1	1.117928070026E-9	2.95529694844381E-11	499.1						
499	1.11850681097E-9	2.95682707464571E-11	499						
498.9	1.119089661095E-9	2.95836808861905E-11	498.9						
498.8	1.119676879364E-9	2.95992011736762E-11	498.8						
498.7	1.120268475499E-9	2.96148415386476E-11	498.7						
498.6	1.120863889677E-9	2.96305825699857E-11	498.6						
498.5	1.121463933187E-9	2.96464370072191E-11	498.5						
498.4	1.122067949314E-9	2.96624046604714E-11	498.4						
498.3	1.122676214937E-9	2.96784934080667E-11	498.3						
498.2	1.123288734133E-9	2.96946820275619E-11	498.2						
498.1	1.12390533316E-9	2.97109799324619E-11	498.1						
498	1.124526393844E-9	2.97274060781E-11	498						
497.9	1.125151393015E-9	2.97439262283762E-11	497.9						
497.8	1.125781053449E-9	2.97605693161333E-11	497.8						
497.7	1.126414483142E-9	2.97773216423952E-11	497.7						
497.6	1.127052557612E-9	2.97941827220048E-11	497.6						
497.5	1.127694363812E-9	2.9811148958919E-11	497.5						
497.4	1.128340863046E-9	2.98282378159714E-11	497.4						
497.3	1.128991393363E-9	2.9845435272919E-11	497.3						
497.2	1.129646256963E-9	2.98627474848048E-11	497.2						
497.1	1.130305376244E-9	2.98801692405905E-11	497.1						
497	1.130968473462E-9	2.98977029498E-11	497						
496.9	1.131636161966E-9	2.99153505821048E-11	496.9						
496.8	1.132307753383E-9	2.99331052843619E-11	496.8						
496.7	1.132983817396E-9	2.99509741992333E-11	496.7						
496.6	1.133663857671E-9	2.99689524106524E-11	496.6						
496.5	1.134348456128E-9	2.99870509887048E-11	496.5						
496.4	1.135037193047E-9	3.00052592404333E-11	496.4						
496.3	1.135729851788E-9	3.00235767516238E-11	496.3						
496.2	1.136427277943E-9	3.00420045272048E-11	496.2						
496.1	1.137128391015E-9	3.00605424424238E-11	496.1						
496	1.137834461797E-9	3.00792052865619E-11	496						
495.9	1.138544222628E-9	3.00979687850905E-11	495.9						
495.8	1.139258392502E-9	3.01168473362381E-11	495.8						
495.7	1.13997690986E-9	3.01358378085095E-11	495.7						
495.6	1.140699697756E-9	3.01549511466762E-11	495.6						
495.5	1.141426588434E-9	3.01741646873E-11	495.5						
495.4	1.142157728432E-9	3.01934907191571E-11	495.4						
495.3	1.142893208122E-9	3.02129369017333E-11	495.3						
495.2	1.143632748607E-9	3.02324851983524E-11	495.2						
