Avg	Altitude (km)	Ni	NiO	NiO2	NiO3	NiCO3	NiOH	NiO2H2	Ni2O2H2	Alt	
LIDAR	LIDAR	WACCM	WACCM	WACCM	WACCM	WACCM	WACCM	WACCM	WACCM	WACCM	
0.99	75	0	0	0	0	0.117391304347826	0.00326086956521739	19.3173913043478	1184.09239130435	50	
5.8	76	0	0	0	0	0.217391304347826	0.00978260869565217	21.2271739130435	1032.44130434783	52	
12.486	77	0	0	0	0	0.433695652173914	0.0315217391304348	24.2586956521739	873.097826086956	54	
26.07	78	0	0	0	0	0.805434782608694	0.0717391304347826	24.925	754.44347826087	56	
54.662	79	0	0	0	0	1.46630434782609	0.184782608695652	24.4510869565218	673.502173913044	58	
103.974	80	0	0	0	0	2.82173913043478	0.446739130434783	22.5913043478261	610.217391304348	60	
168.502	81	0	0	0	0	5.0304347826087	1.25	21.2032608695652	565.830434782609	62	
230.126	82	0	0	0	0	7.76521739130435	3.51195652173913	22.5771739130435	543.046739130435	64	
274.04	83	0	0	0	0	11.0923913043478	10.0576086956522	23.7902173913043	535.597826086956	66	
302.268	84	0	0	0.00760869565217391	0.0152173913043478	13.1282608695652	20.4032608695652	21.0836956521739	537.380434782609	68	
324.37	85	0.00108695652173913	0.00108695652173913	0.0184782608695652	0.0380434782608696	13.0413043478261	31.0391304347826	18.3434782608696	519.980434782609	70	
339.56	86	0.106521739130435	0.0586956521739131	0.583695652173913	0.6	11.9771739130435	45.9934782608696	16.5695652173913	505.569565217391	72	
337.596	87	0.218478260869565	0.118478260869565	1.12282608695652	1.1945652173913	9.73369565217392	63.9728260869565	16.2532608695652	476.814130434783	74	
316.194	88	9.44130434782609	1.17717391304348	4.71086956521739	3.60217391304348	8.06956521739131	80.1978260869565	11.6130434782609	424.109782608696	76	
285.126	89	29.9489130434782	3.12391304347826	9.79565217391304	7.15	7.37717391304348	92.7956521739131	6.39456521739131	355.53152173913	78	
255.17	90	108.364130434783	7.59782608695652	10.8695652173913	11.279347826087	7.72934782608696	102.479347826087	2.89673913043478	278.911956521739	80	
227.072	91	272.098913043478	10.7532608695652	6.65652173913043	8.97717391304348	5.19565217391304	73.6902173913044	1.11086956521739	184.539130434783	82	
195.76	92	355.544565217391	10.1163043478261	3.19673913043478	5.8304347826087	2.98804347826087	45.3173913043478	0.366304347826087	113.366304347826	84	
161.768	93	387.758695652174	7.0804347826087	1.13369565217391	2.50326086956522	1.14130434782609	19.1804347826087	0.083695652173913	64.5630434782609	86	
126.498	94	340.532608695652	4.48804347826087	0.383695652173913	1.06086956521739	0.427173913043478	8.01739130434783	0.0119565217391304	37.4173913043478	88	
92.998	95	270.144565217391	2.56630434782609	0.123913043478261	0.385869565217391	0.138043478260869	2.92934782608696	0	21.5891304347826	90	
65.254	96	196.63152173913	1.36195652173913	0.0282608695652174	0.139130434782609	0.0326086956521739	1.06413043478261	0	12.3684782608696	92	
46.406	97	130.094565217391	0.664130434782609	0.00217391304347826	0.0391304347826087	0.00543478260869565	0.375	0	6.96413043478261	94	
37.032	98	80.2304347826087	0.291304347826087	0	0.00434782608695652	0	0.108695652173913	0	3.86086956521739	96	
30.438	99	46.1739130434783	0.113043478260869	0	0	0	0.0239130434782609	0	2.06739130434783	98	
22.6	100	24.8934782608696	0.0336956521739131	0	0	0	0.00326086956521739	0	1.02391304347826	100	
12.746	101	12.9804347826087	0.00108695652173913	0	0	0	0	0	0.468478260869565	102	
2.654	102	6.72391304347826	0	0	0	0	0	0	0.179347826086956	104	
-3.732	103	3.97826086956522	0	0	0	0	0	0	0.0695652173913043	106	
-4.696	104	2.46630434782609	0	0	0	0	0	0	0.0206521739130435	108	
-1.046	105	1.575	0	0	0	0	0	0	0.00543478260869565	110	
		0.994565217391304	0	0	0	0	0	0	0	112	
		0.58695652173913	0	0	0	0	0	0	0	114	
		0.327173913043478	0	0	0	0	0	0	0	116	
		0.197826086956522	0	0	0	0	0	0	0	118	
		0.129347826086956	0	0	0	0	0	0	0	120	
		0.092391304347826	0	0	0	0	0	0	0	122	
		0.041304347826087	0	0	0	0	0	0	0	124	
		0.0108695652173913	0	0	0	0	0	0	0	126	
		0.00108695652173913	0	0	0	0	0	0	0	128	
		0	0	0	0	0	0	0	0	130	
		0	0	0	0	0	0	0	0	132	
		0	0	0	0	0	0	0	0	134	
		0	0	0	0	0	0	0	0	136	
		0	0	0	0	0	0	0	0	138	
		0	0	0	0	0	0	0	0	140	
