	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec						
51600000	50600000	222000000	668000000	811000000	1180000000	1280000000	1090000000	790000000	549000000	315000000	139000000	51600000	50600000					
51700000	50600000	223000000	667000000	806000000	1170000000	1270000000	1090000000	786000000	548000000	315000000	139000000	51700000	50600000					
51900000	50800000	224000000	667000000	798000000	1140000000	1240000000	1070000000	782000000	543000000	315000000	139000000	51900000	50800000					
52500000	51100000	225000000	668000000	790000000	1110000000	1190000000	1040000000	778000000	538000000	316000000	141000000	52500000	51100000					
53400000	51800000	228000000	667000000	779000000	1080000000	1140000000	1010000000	771000000	532000000	317000000	143000000	53400000	51800000					
54400000	52900000	232000000	665000000	767000000	1040000000	1090000000	969000000	764000000	526000000	319000000	146000000	54400000	52900000					
55700000	54500000	237000000	664000000	755000000	999000000	1050000000	934000000	755000000	521000000	322000000	150000000	55700000	54500000					
57200000	56300000	243000000	664000000	742000000	961000000	1010000000	900000000	743000000	516000000	326000000	156000000	57200000	56300000					
59100000	58600000	250000000	664000000	729000000	927000000	966000000	872000000	728000000	511000000	332000000	162000000	59100000	58600000					
61400000	61600000	257000000	663000000	718000000	895000000	936000000	851000000	713000000	507000000	340000000	168000000	61400000	61600000					
64300000	65200000	263000000	662000000	708000000	861000000	908000000	828000000	700000000	504000000	349000000	176000000	64300000	65200000					
67400000	69500000	270000000	660000000	697000000	828000000	879000000	802000000	686000000	501000000	360000000	186000000	67400000	69500000					
71100000	74800000	275000000	658000000	688000000	797000000	853000000	779000000	672000000	498000000	370000000	195000000	71100000	74800000					
75500000	81200000	281000000	655000000	677000000	771000000	831000000	758000000	660000000	496000000	381000000	205000000	75500000	81200000					
80500000	89000000	286000000	651000000	667000000	747000000	812000000	741000000	647000000	496000000	391000000	215000000	80500000	89000000					
86500000	98200000	290000000	647000000	657000000	728000000	792000000	725000000	636000000	496000000	401000000	226000000	86500000	98200000					
93300000	109000000	293000000	642000000	647000000	710000000	772000000	710000000	625000000	496000000	411000000	236000000	93300000	109000000					
101000000	121000000	298000000	636000000	637000000	694000000	754000000	695000000	614000000	496000000	418000000	247000000	101000000	121000000					
110000000	134000000	303000000	626000000	628000000	681000000	736000000	680000000	604000000	496000000	422000000	256000000	110000000	134000000					
120000000	148000000	309000000	616000000	619000000	668000000	717000000	664000000	594000000	496000000	423000000	265000000	120000000	148000000					
132000000	162000000	317000000	606000000	608000000	655000000	699000000	647000000	585000000	494000000	422000000	273000000	132000000	162000000					
145000000	176000000	324000000	596000000	597000000	643000000	682000000	630000000	575000000	492000000	420000000	281000000	145000000	176000000					
160000000	190000000	332000000	585000000	586000000	632000000	665000000	616000000	565000000	490000000	418000000	288000000	160000000	190000000					
176000000	205000000	341000000	576000000	576000000	620000000	646000000	601000000	555000000	486000000	415000000	295000000	176000000	205000000					
195000000	221000000	352000000	567000000	565000000	607000000	628000000	586000000	545000000	480000000	412000000	303000000	195000000	221000000					
217000000	236000000	363000000	558000000	555000000	594000000	609000000	570000000	536000000	475000000	409000000	312000000	217000000	236000000					
239000000	252000000	374000000	549000000	545000000	581000000	590000000	555000000	527000000	470000000	405000000	322000000	239000000	252000000					
263000000	269000000	386000000	541000000	536000000	567000000	572000000	541000000	519000000	464000000	402000000	331000000	263000000	269000000					
288000000	285000000	396000000	533000000	527000000	554000000	555000000	529000000	512000000	460000000	400000000	341000000	288000000	285000000					
312000000	301000000	406000000	526000000	519000000	542000000	539000000	519000000	506000000	457000000	399000000	352000000	312000000	301000000					
335000000	317000000	416000000	519000000	511000000	528000000	525000000	509000000	502000000	454000000	398000000	362000000	335000000	317000000					
357000000	331000000	424000000	512000000	503000000	515000000	512000000	501000000	498000000	453000000	397000000	373000000	357000000	331000000					
379000000	345000000	430000000	504000000	495000000	504000000	500000000	494000000	494000000	453000000	397000000	384000000	379000000	345000000					
398000000	356000000	435000000	496000000	486000000	494000000	489000000	488000000	492000000	455000000	398000000	394000000	398000000	356000000					
416000000	366000000	438000000	488000000	477000000	484000000	479000000	483000000	489000000	459000000	400000000	404000000	416000000	366000000					
431000000	374000000	439000000	480000000	468000000	474000000	470000000	479000000	488000000	463000000	402000000	414000000	431000000	374000000					
444000000	381000000	438000000	473000000	460000000	466000000	461000000	476000000	488000000	468000000	405000000	423000000	444000000	381000000					
454000000	386000000	435000000	466000000	453000000	458000000	453000000	473000000	489000000	472000000	408000000	431000000	454000000	386000000					
462000000	390000000	431000000	461000000	446000000	450000000	445000000	470000000	491000000	477000000	412000000	439000000	462000000	390000000					
467000000	393000000	425000000	456000000	441000000	442000000	438000000	467000000	492000000	483000000	417000000	446000000	467000000	393000000					
470000000	396000000	420000000	452000000	436000000	435000000	431000000	463000000	494000000	488000000	423000000	452000000	470000000	396000000					
471000000	397000000	415000000	448000000	434000000	428000000	424000000	460000000	496000000	493000000	429000000	458000000	471000000	397000000					
