	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
103000000	104000000	220000000	242000000	190000000	230000000	228000000	203000000	168000000	169000000	172000000	138000000	103000000	104000000
104000000	106000000	222000000	246000000	189000000	230000000	229000000	202000000	167000000	171000000	174000000	139000000	104000000	106000000
105000000	107000000	224000000	250000000	190000000	230000000	228000000	200000000	166000000	172000000	176000000	140000000	105000000	107000000
108000000	110000000	225000000	252000000	192000000	231000000	227000000	199000000	167000000	173000000	179000000	142000000	108000000	110000000
110000000	112000000	227000000	254000000	193000000	231000000	224000000	197000000	167000000	173000000	182000000	144000000	110000000	112000000
112000000	115000000	228000000	254000000	194000000	230000000	221000000	194000000	168000000	173000000	185000000	147000000	112000000	115000000
114000000	118000000	230000000	250000000	193000000	228000000	217000000	190000000	168000000	172000000	188000000	150000000	114000000	118000000
116000000	122000000	233000000	244000000	192000000	225000000	213000000	186000000	168000000	172000000	191000000	154000000	116000000	122000000
119000000	126000000	232000000	238000000	190000000	222000000	208000000	182000000	167000000	170000000	192000000	156000000	119000000	126000000
121000000	129000000	230000000	226000000	190000000	221000000	205000000	180000000	166000000	169000000	194000000	159000000	121000000	129000000
123000000	135000000	230000000	218000000	189000000	218000000	201000000	179000000	163000000	168000000	196000000	162000000	123000000	135000000
127000000	141000000	229000000	217000000	190000000	218000000	198000000	177000000	160000000	169000000	199000000	165000000	127000000	141000000
130000000	147000000	226000000	214000000	191000000	216000000	198000000	176000000	156000000	169000000	200000000	171000000	130000000	147000000
135000000	155000000	223000000	211000000	188000000	212000000	200000000	176000000	153000000	168000000	201000000	176000000	135000000	155000000
139000000	164000000	222000000	207000000	187000000	208000000	202000000	177000000	152000000	169000000	202000000	181000000	139000000	164000000
145000000	172000000	225000000	206000000	186000000	206000000	205000000	179000000	152000000	169000000	201000000	186000000	145000000	172000000
153000000	180000000	227000000	199000000	182000000	207000000	206000000	182000000	151000000	170000000	200000000	191000000	153000000	180000000
161000000	187000000	229000000	193000000	178000000	208000000	207000000	184000000	150000000	172000000	198000000	195000000	161000000	187000000
169000000	194000000	232000000	190000000	175000000	208000000	208000000	185000000	148000000	175000000	196000000	199000000	169000000	194000000
177000000	199000000	232000000	190000000	174000000	207000000	210000000	185000000	148000000	179000000	195000000	202000000	177000000	199000000
185000000	202000000	232000000	192000000	172000000	207000000	212000000	185000000	149000000	183000000	193000000	203000000	185000000	202000000
194000000	204000000	231000000	192000000	171000000	207000000	214000000	183000000	148000000	186000000	191000000	204000000	194000000	204000000
202000000	207000000	230000000	192000000	168000000	209000000	216000000	181000000	147000000	187000000	190000000	206000000	202000000	207000000
211000000	208000000	231000000	195000000	166000000	210000000	217000000	179000000	148000000	186000000	188000000	207000000	211000000	208000000
218000000	210000000	233000000	200000000	166000000	211000000	218000000	177000000	149000000	184000000	185000000	206000000	218000000	210000000
223000000	214000000	234000000	203000000	167000000	212000000	219000000	176000000	149000000	180000000	182000000	206000000	223000000	214000000
229000000	217000000	234000000	204000000	171000000	212000000	218000000	178000000	153000000	176000000	178000000	205000000	229000000	217000000
234000000	219000000	234000000	203000000	175000000	211000000	218000000	178000000	156000000	172000000	175000000	204000000	234000000	219000000
